Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24,Mark
1433833.9969854997,-4388.77,-17025.58,-17047.85,-14963.38,-17031.60,-0040.86,-16776.00,-5579.80,-4455.49,-8368.51,-2710.58,-17041.53,-4244.57,-13886.37,-7196.43,-3498.64,-7566.61,-3414.66,-6337.55,-2653.80,+0000.00,+0003.01,-0003.01,-0008.13,0
1433834.0003188332,-13812.07,-2387.72,-2687.22,-6494.89,-3192.06,-12507.25,-8996.83,-7183.83,-7733.86,-5936.36,-7673.65,-3162.78,-7160.26,-3556.94,-5409.53,-7084.00,-6263.52,-6660.42,-5533.90,+4410.89,+0000.00,+0002.41,-0002.71,-0008.43,0
1433834.0036521666,-5668.28,+13192.21,+13214.48,+12318.42,+13198.23,-6459.18,+11834.77,+1946.74,+0258.34,+5948.29,-1069.29,+13208.16,+0557.21,+13211.47,+3363.35,+0003.89,+4632.67,+0123.47,+4075.33,+6487.17,+0000.00,+0002.41,-0002.11,-0008.13,0
1433834.0069854998,+11412.33,+13766.32,+14244.13,+15701.35,+14613.94,+9238.17,+18023.52,+10744.67,+10334.46,+12045.56,+9840.50,+14290.86,+9834.21,+14177.12,+9347.58,+9761.76,+11389.26,+9260.57,+10514.08,-0473.15,+0000.00,+0002.71,-0002.41,-0008.43,0
1433834.0103188332,+10905.19,-8092.23,-7867.07,-3368.02,-7737.47,+11559.16,-1665.57,+3910.65,+5297.86,+0939.65,+6734.93,-7712.19,+4808.72,-5264.08,+1736.93,+5516.89,+1672.34,+4913.20,+1833.66,-8083.80,+0000.00,+0002.41,-0002.71,-0008.13,0
1433834.0136521666,-5286.88,-17048.36,-17070.63,-16644.84,-17054.38,-1300.74,-17017.36,-7245.63,-6031.23,-10194.84,-4708.33,-17064.31,-5830.97,-15718.75,-7219.20,-5378.89,-9379.59,-5139.59,-8136.96,-2631.02,+0000.00,+0002.71,-0003.01,-0008.73,0
1433834.0169854998,-14171.47,-2477.93,-3749.69,-8251.21,-3843.62,-13171.72,-10869.09,-9199.54,-9564.10,-8043.57,-9878.54,-4256.69,-9024.24,-5661.09,-5376.77,-9157.93,-8299.65,-8589.65,-7577.59,+4443.66,+0000.00,+0002.71,-0002.41,-0008.43,0
1433834.0203188332,-5669.63,+13269.83,+13292.10,+11401.44,+13275.85,-6381.56,+11021.92,+0582.23,-0981.97,+4478.43,-2752.35,+13285.78,-0681.43,+12049.63,+3440.97,-1641.71,+3227.18,-1316.23,+2541.24,+6409.55,+0000.00,+0002.71,-0002.71,-0008.43,0
1433834.0236521666,+11393.26,+14186.12,+13915.38,+15270.60,+14649.81,+8799.77,+17693.87,+9825.84,+9435.98,+10958.49,+8600.84,+14063.28,+8909.08,+12927.58,+9349.83,+8538.34,+10416.12,+8168.56,+9345.63,-0470.89,+0000.00,+0002.71,-0002.71,-0007.83,0
1433834.0269854998,+11043.01,-8025.34,-7907.36,-3507.45,-7685.55,+11557.66,-2123.07,+3290.48,+4661.55,+0155.86,+5765.02,-7714.89,+4143.39,-6148.90,+1735.43,+4550.08,+0924.50,+4144.49,+0997.91,-8085.30,+0000.00,+0002.41,-0002.71,-0008.13,0
