KeyBoardLocalX,KeyBoardLocalY
godd
-0.016286972910165787,-0.42850494384765625
-0.015067164786159992,-0.429021954536438
-0.013635607436299324,-0.42919084429740906
-0.013708027079701424,-0.43017449975013733
-0.0129453856498003,-0.43122297525405884
-0.011596979573369026,-0.4314301908016205
-0.010715426877140999,-0.43200695514678955
-0.01011565513908863,-0.43382859230041504
-0.009750129655003548,-0.4348708391189575
-0.009528251364827156,-0.43561336398124695
-0.009734483435750008,-0.43630722165107727
-0.008955003693699837,-0.43618273735046387
-0.00822395272552967,-0.43690088391304016
-0.007691832724958658,-0.43699783086776733
-0.0074392580427229404,-0.4376479685306549
-0.007409306708723307,-0.4371596574783325
-0.0064355144277215,-0.4367049038410187
-0.007195175625383854,-0.43926823139190674
-0.006982089020311832,-0.4392929673194885
-0.005822778679430485,-0.4398607015609741
-0.006179363466799259,-0.4392986297607422
-0.0053758928552269936,-0.4395105838775635
-0.00472381804138422,-0.4401017427444458
-0.0030383472330868244,-0.43964076042175293
-0.0011499228421598673,-0.43951526284217834
0.0005474687786772847,-0.43838590383529663
0.0033301119692623615,-0.43738794326782227
0.005327911116182804,-0.43590497970581055
0.008824022486805916,-0.4335995018482208
0.01145482249557972,-0.43189358711242676
0.8312554359436035,-0.12533754110336304
0.8644424676895142,-0.09408574551343918
0.8836607933044434,-0.07786243408918381
0.9001665115356445,-0.06859305500984192
0.9271754026412964,-0.0715879499912262
0.938471257686615,-0.06933443248271942
0.9518387913703918,-0.06761462986469269
0.9692254662513733,-0.06750630587339401
0.9844228625297546,-0.07024727016687393
1.0051929950714111,-0.07227358222007751
1.0762393474578857,-0.07912542670965195
1.11580491065979,-0.07931821048259735
1.1566072702407837,-0.07885437458753586
1.19500732421875,-0.07572347670793533
1.2244150638580322,-0.07398417592048645
1.2527179718017578,-0.06747867912054062
1.272308588027954,-0.06301791220903397
1.2881097793579102,-0.057261232286691666
1.2927895784378052,-0.047604359686374664
1.3076287508010864,-0.04339421167969704
1.3019120693206787,-0.04103250056505203
1.2989904880523682,-0.04148028790950775
1.3052672147750854,-0.038648370653390884
1.318025827407837,-0.03952540457248688
1.3290677070617676,-0.04162522032856941
1.3309776782989502,-0.044372595846652985
1.3296005725860596,-0.04156922921538353
1.3204771280288696,-0.04307230934500694
1.295541763305664,-0.04197023808956146
1.265069842338562,-0.04026336595416069
1.240919828414917,-0.03961866721510887
1.2280848026275635,-0.0392928346991539
1.2370097637176514,-0.03670230880379677
1.2256431579589844,-0.036439795047044754
1.2318378686904907,-0.03636064752936363
1.2155437469482422,-0.04026995971798897
1.189406156539917,-0.041367121040821075
1.1897605657577515,-0.042531803250312805
1.1910638809204102,-0.043441347777843475
1.1761364936828613,-0.04442703723907471
1.199660301208496,-0.041565850377082825
1.2013044357299805,-0.035963091999292374
1.1965560913085938,-0.031208841130137444
1.1890721321105957,-0.026779500767588615
1.177572250366211,-0.022306624799966812
1.1710739135742188,-0.01658831536769867
1.1680412292480469,-0.012501515448093414
1.1638689041137695,-0.010440435260534286
1.1572418212890625,-0.00900320615619421
1.155649185180664,-0.006202259100973606
1.1639878749847412,-0.0020300799515098333
1.162569284439087,-0.0003115546132903546
1.1622744798660278,5.681144830305129e-05
1.159592628479004,0.001203995430842042
1.1505506038665771,0.0005086643504910171
1.1425971984863281,-0.00044423906365409493
1.1379458904266357,-0.0009945222409442067
1.1444377899169922,-0.000877836428117007
1.1360561847686768,-0.005569477565586567
