Start,End,Mark
61363.62814017778,61363.824806844445,0
61363.82814017778,61363.84480684445,1
61363.84814017778,61363.87147351111,0
61363.87480684445,61366.09814017778,1
61366.10147351112,61367.51147351111,0
61367.51480684445,61368.451473511115,2
61368.45480684445,61368.48814017778,0
61368.491473511116,61368.71147351112,2
61368.71480684445,61368.741473511116,0
61368.74480684445,61368.818140177784,1
61368.82147351112,61368.87147351111,0
61368.87480684445,61369.14147351112,1
61369.144806844444,61369.171473511116,0
61369.17480684445,61369.82147351112,2
61369.824806844445,61369.88814017778,0
61369.89147351112,61370.201473511115,2
61370.20480684445,61370.25814017778,0
61370.26147351111,61370.504806844445,2
61370.50814017778,61370.51814017778,0
61370.521473511115,61371.30814017778,2
61371.311473511116,61371.358140177785,0
61371.36147351111,61372.23814017778,2
61372.241473511116,61373.57814017778,0
61373.58147351111,61374.56480684445,2
61374.568140177784,61374.62814017778,0
61374.631473511115,61375.38480684445,2
61375.38814017778,61375.44147351111,0
61375.44480684445,61375.69480684445,1
61375.69814017778,61375.72147351111,0
61375.724806844446,61376.131473511115,2
61376.13480684445,61378.14147351112,0
61378.144806844444,61379.04147351111,2
61379.044806844446,61379.091473511115,0
61379.09480684445,61379.33480684445,2
61379.33814017778,61379.37147351111,0
61379.37480684445,61380.64147351112,2
61380.644806844444,61381.79147351111,0
61381.794806844446,61381.811473511116,1
61381.81480684445,61381.841473511115,0
61381.84480684445,61382.69147351111,2
61382.69480684445,61382.741473511116,0
61382.74480684445,61383.678140177784,2
61383.68147351111,61383.71814017778,0
61383.72147351111,61384.01480684445,2
61384.01814017778,61384.07814017778,0
61384.08147351111,61384.404806844446,2
61384.40814017778,61384.44480684445,0
61384.44814017778,61384.79814017778,2
61384.801473511114,61384.87814017778,0
61384.881473511115,61385.47814017778,2
61385.481473511114,61385.50814017778,0
61385.51147351111,61385.60480684445,1
61385.608140177785,61385.65814017778,0
61385.661473511114,61386.24480684445,2
61386.248140177784,61386.27480684445,0
61386.27814017778,61386.654806844446,1
61386.65814017778,61386.69814017778,0
61386.701473511115,61387.12814017778,2
61387.131473511115,61388.79147351111,0
61388.794806844446,61389.85480684445,2
61389.858140177785,61389.921473511116,0
61389.92480684445,61390.254806844445,2
61390.25814017778,61390.294806844446,0
61390.29814017778,61390.56480684445,1
61390.568140177784,61390.60480684445,0
61390.608140177785,61391.12147351111,2
61391.12480684445,61396.03147351112,0
61396.03480684445,61396.04814017778,1
61396.051473511114,61396.11814017778,0
61396.12147351111,61397.241473511116,2
61397.24480684445,61397.32814017778,0
61397.33147351111,61397.498140177784,2
61397.50147351112,61397.51814017778,0
61397.521473511115,61397.68814017778,1
61397.69147351111,61397.78480684445,0
61397.78814017778,61398.06480684445,2
61398.068140177784,61398.16480684445,0
61398.16814017778,61399.15814017778,2
61398.16814017778,61399.15814017778,2
61399.161473511114,61401.27814017778,0
61401.28147351112,61401.55480684445,1
61401.55814017778,61401.644806844444,0
61401.64814017778,61402.79091795556,1
61402.79425128889,61402.89425128889,0
61402.897584622224,61402.914251288894,1
61402.91758462223,61402.924251288896,0
61402.92758462222,61403.73091795556,2
61403.73425128889,61403.78425128889,0
61403.78758462222,61404.10425128889,2
61404.10758462222,61404.13091795556,0
61404.134251288895,61404.36425128889,2
61404.367584622225,61404.43425128889,0
61404.437584622225,61404.564251288895,1
61404.56758462222,61404.62091795556,0
61404.62425128889,61404.71425128889,2
61404.71758462222,61404.744251288896,0
61404.74758462222,61405.25425128889,1
61405.257584622224,61405.33091795556,0
61405.33425128889,61405.73758462223,2
61405.33425128889,61405.73758462223,2
61405.33425128889,61405.73758462223,2
61405.74091795556,61405.78758462222,0
61405.79091795556,61406.03091795556,1
61406.03425128889,61406.077584622224,0
61406.08091795556,61406.210917955555,1
61406.21425128889,61406.24758462222,0
61406.250917955556,61406.51091795556,1
61406.51425128889,61406.68091795556,0
61406.68425128889,61407.29091795556,2
61406.68425128889,61407.29091795556,2
61407.29425128889,61407.337584622226,0
61407.34091795556,61407.67091795556,2
