Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Channel_9,Channel_10,Channel_11,Channel_12,Channel_13,Channel_14,Channel_15,Channel_16,Channel_17,Channel_18,Channel_19,Channel_20,Channel_21,Channel_22,Channel_23,Channel_24
637.6237946666665,-4747.292942715505,-4716.9756416889795,-4954.6501548747965,-4831.99231395333,-4739.760200945008,-4744.943274290964,-4782.195149921664,-3212.373444685982,-4742.428340933191,-4736.694708047268,-4750.3387790024735,-4771.521339083186,-4763.811753914745,-4744.117018205328,-4743.829006126649,-4746.846592429163,-4718.75090881894,-4732.527104181129,-4729.176568949518,115.04520138095248,0.0,-0.0645412060984785,-0.04133326104771877,0.17467743803866315
637.627128,-8996.897308171805,-8964.457185083971,-9211.089395058276,-9093.184705967267,-9005.622668147407,-8991.628139077024,-9033.993600848366,-7457.134838715683,-8993.025351108707,-8985.807153321353,-9005.759962392945,-9022.429533300527,-9008.037638432419,-8997.945559745829,-8990.517183116763,-8994.06293098092,-8967.614853512678,-8978.370068463671,-8981.999394979279,382.8784711173828,0.0,-0.05690490291520535,-0.14467465411771546,0.16216933421387997
637.6304613333333,-12507.131804436296,-12472.939687445389,-12725.116022998121,-12613.876010416483,-12528.989126370201,-12499.251315654838,-12545.671100973495,-10962.868335242536,-12503.445011113852,-12495.216936505578,-12520.848783625412,-12533.438998727193,-12513.369378932466,-12511.5130955263,-12498.143639768572,-12501.807199894673,-12476.809116126735,-12485.377741355223,-12494.551115514067,551.9303401964171,0.0,-0.0579843491277781,-0.23420216562565657,0.1572187813409789
637.6337946666666,-12769.439317043121,-12735.396783563623,-12982.264010659408,-12878.586860705855,-12791.672094731384,-12759.973882227569,-12806.330236202706,-13260.160666728272,-12763.44655832256,-12755.582318414832,-12784.361278081868,-12794.8527962212,-12774.26201357613,-12772.889286575515,-12758.869743006677,-12762.28531880016,-12737.589630422324,-12746.582883568957,-12755.038123658731,576.5925919370319,0.0,-0.07310668852127118,-0.298422694935229,0.1625536819650762
637.637128,-13031.746829649946,-12997.853879681856,-13239.411998320697,-13143.297710995228,-13054.355063092566,-13020.6964488003,-13066.989371431917,-14279.596976606701,-13023.448105531268,-13015.947700324085,-13047.873772538322,-13056.266593715207,-13035.154648219794,-13034.265477624733,-13019.59584624478,-13022.76343770565,-12998.370144717912,-13007.788025782691,-13015.525131803397,487.55539147614047,0.0,-0.10309331922591207,-0.3312713647111385,0.17475726572284553
637.6404613333333,-13294.054342256772,-13260.31097580009,-13496.559985981985,-13408.0085612846,-13317.038031453749,-13281.41901537303,-13327.648506661128,-14300.100012246205,-13283.449652739975,-13276.313082233337,-13311.386266994778,-13317.680391209213,-13296.047282863457,-13295.641668673949,-13280.321949482885,-13283.241556611138,-13259.1506590135,-13268.993167996425,-13276.012139948061,365.2722501881027,0.0,-0.1435164126971144,-0.3337624307777643,0.18643101879585688
637.6437946666666,-13556.361854863597,-13522.768071918324,-13753.707973643272,-13672.719411573971,-13579.72099981493,-13542.14158194576,-13588.307641890337,-13764.34548987148,-13543.451199948682,-13536.678464142591,-13574.898761451233,-13579.094188703219,-13556.939917507121,-13557.017859723164,-13541.04805272099,-13543.719675516626,-13519.931173309089,-13530.198310210157,-13536.499148092726,280.92851709097374,0.0,-0.1852306915377416,-0.3127431930905804,0.1898068705301783
637.647128,-13818.669367470422,-13785.225168036557,-14010.855961304558,-13937.430261863345,-13842.403968176113,-13802.86414851849,-13848.966777119547,-13081.459541874394,-13803.452747157391,-13797.043846051845,-13838.411255907688,-13840.507986197226,-13817.832552150785,-13818.394050772382,-13801.774155959092,-13804.197794422114,-13780.711687604678,-13791.40345242389,-13796.986156237392,249.91771489475568,0.0,-0.21703665569105712,-0.2773602848165059,0.18008513266080334
637.6504613333333,-14080.976880077247,-14047.682264154791,-14268.003948965847,-14202.141112152716,-14105.086936537295,-14063.586715091222,-14109.625912348758,-12515.828308133932,-14063.454294366098,-14057.409227961098,-14101.923750364143,-14101.921783691232,-14078.725186794449,-14079.770241821598,-14062.500259197197,-14064.675913327603,-14041.492201900266,-14052.608594637624,-14057.473164382056,237.89156543358672,0.0,-0.2302637117781375,-0.23579202312206993,0.15790407094161124
637.6537946666666,-13748.6015547314,-13715.795739019286,-13936.62392379293,-13866.471839015809,-13773.384229999408,-13729.383564987096,-13775.344433116648,-12179.732204763026,-13731.360774899196,-13724.359164059204,-13770.446168359935,-13769.624154639543,-13746.716469939487,-13745.533631584247,-13728.3014950149,-13732.261088428015,-13708.718677214843,-13718.72540082286,-13722.839052011755,212.15254165023575,0.0,-0.22319760048133436,-0.19418284251448287,0.1302002863397978
637.657128,-13654.422710792986,-13621.834605885091,-13845.762004705868,-13768.39148588248,-13681.322502944475,-13633.009740640613,-13679.66147386855,-12081.445321242958,-13638.554918842896,-13630.276511202019,-13676.964981191677,-13676.029054286873,-13652.736422152815,-13649.785476873307,-13631.93251903313,-13638.123751970023,-13614.243210386414,-13622.551713360806,-13626.921199927972,182.85769450760665,0.0,-0.20241160495126567,-0.1572967219525151,0.1080770730771489
637.6604613333333,-13748.60980143003,-13715.985891646837,-13944.003093822459,-13858.390825326549,-13777.986459030086,-13724.75865750104,-13772.902732080585,-12171.291099247312,-13734.492524473017,-13725.17632940014,-13771.134182255773,-13771.167957567008,-13747.063444801266,-13742.737208669178,-13723.68648707754,-13732.061300732317,-13707.97186182165,-13714.622105284252,-13719.958406046,188.62250008125525,0.0,-0.17948518196963137,-0.12909557111026507,0.10146466029298899
